Date,Price,Open,High,Low,Vol.,Change %
11/16/2014,49.9,50.5,51.7,49.0,557.37K,-0.20%
11/23/2014,47.5,49.9,50.0,45.3,49.83K,-4.81%
11/30/2014,48.9,48.0,49.5,47.3,24.78K,2.95%
12/7/2014,48.0,47.6,49.0,47.0,108.46K,-1.84%
12/14/2014,51.7,48.0,52.0,48.0,340.41K,7.71%
12/21/2014,51.4,51.4,52.0,50.0,85.53K,-0.58%
12/28/2014,51.3,50.0,51.4,49.5,36.03K,-0.19%
1/4/2015,54.0,49.9,54.9,49.9,207.70K,5.26%
1/11/2015,52.9,54.0,54.5,52.0,42.44K,-2.04%
1/18/2015,51.5,52.0,52.0,47.0,35.14K,-2.65%
1/25/2015,49.6,50.9,51.0,49.6,5.49K,-3.69%
2/1/2015,49.5,50.9,50.9,45.6,2.96K,-0.20%
2/8/2015,50.0,49.5,50.9,48.2,34.77K,1.01%
2/15/2015,49.1,49.0,50.0,48.7,19.03K,-1.80%
2/22/2015,48.5,49.5,49.5,47.0,7.00K,-1.22%
3/1/2015,47.0,49.0,49.0,46.8,64.46K,-3.09%
3/8/2015,45.6,46.6,48.0,45.6,27.20K,-2.98%
3/15/2015,45.5,46.1,46.9,45.5,7.85K,-0.22%
3/22/2015,45.0,45.6,46.5,44.8,21.13K,-1.10%
3/29/2015,48.0,44.0,49.5,44.0,79.10K,6.67%
4/5/2015,47.0,48.0,48.0,46.2,18.24K,-2.08%
4/12/2015,47.5,47.0,48.0,47.0,14.72K,1.06%
4/19/2015,47.4,47.9,49.0,46.5,70.25K,-0.21%
4/26/2015,47.1,47.5,48.0,46.0,37.52K,-0.63%
5/3/2015,47.8,48.0,48.0,46.1,32.64K,1.49%
5/10/2015,47.5,47.5,49.9,46.5,125.65K,-0.63%
5/17/2015,47.0,47.8,48.9,45.0,31.89K,-1.05%
5/24/2015,47.1,47.9,48.5,46.2,59.58K,0.21%
5/31/2015,46.0,47.5,47.5,45.1,25.64K,-2.34%
6/7/2015,45.0,47.0,47.0,45.0,15.07K,-2.17%
6/14/2015,45.0,45.0,46.3,45.0,21.69K,0.00%
6/21/2015,45.0,44.9,45.0,44.1,16.11K,0.00%
6/28/2015,44.0,45.0,45.0,43.4,33.00K,-2.22%
7/5/2015,45.0,44.0,45.0,43.0,78.37K,2.27%
7/12/2015,50.0,44.9,50.9,44.6,282.89K,11.11%
7/19/2015,49.6,50.0,50.0,47.9,28.67K,-0.80%
7/26/2015,48.0,48.9,49.7,47.3,100.01K,-3.23%
8/2/2015,47.0,48.7,49.0,47.0,15.54K,-2.08%
8/9/2015,47.5,48.0,49.0,46.9,39.80K,1.06%
8/16/2015,46.9,47.5,49.0,46.9,34.43K,-1.26%
8/23/2015,49.0,47.0,49.0,45.9,18.65K,4.48%
8/30/2015,46.0,49.0,49.0,45.9,22.44K,-6.12%
9/6/2015,46.5,47.8,48.0,46.1,34.08K,1.09%
9/13/2015,49.4,46.1,49.8,46.1,57.47K,6.24%
9/20/2015,49.3,49.2,49.5,47.1,46.09K,-0.20%
9/27/2015,49.2,49.1,49.4,47.5,50.16K,-0.20%
10/4/2015,48.7,49.1,49.3,46.8,7.09K,-1.02%
10/11/2015,48.3,47.5,48.9,47.0,12.78K,-0.82%
10/18/2015,48.0,47.5,48.0,47.0,4.12K,-0.62%
10/25/2015,48.5,47.0,49.2,47.0,40.93K,1.04%
11/1/2015,48.4,47.3,48.4,46.7,16.77K,-0.21%
11/8/2015,49.0,48.5,49.5,47.1,22.50K,1.24%
11/15/2015,48.3,48.8,48.8,47.1,17.16K,-1.43%
11/22/2015,47.9,48.0,49.0,45.1,28.30K,-0.83%
11/29/2015,47.4,47.1,48.0,46.9,5.08K,-1.04%
12/6/2015,46.0,46.7,47.0,45.5,4.44K,-2.95%
12/13/2015,47.0,46.6,47.0,45.0,3.90K,2.17%
12/20/2015,47.4,47.4,47.4,47.4,0.20K,0.85%
12/27/2015,47.0,45.6,47.5,45.3,7.78K,-0.84%
1/3/2016,45.7,45.6,46.4,44.1,6.40K,-2.77%
1/10/2016,40.4,45.0,45.5,40.0,223.43K,-11.60%
1/17/2016,40.0,41.9,43.9,40.0,16.71K,-0.99%
1/24/2016,40.0,40.2,40.5,39.2,125.73K,0.00%
1/31/2016,40.0,40.0,41.5,39.9,96.39K,0.00%
2/7/2016,38.4,40.0,40.0,38.2,16.96K,-4.00%
2/14/2016,37.5,38.4,39.5,36.5,8.39K,-2.34%
2/21/2016,34.8,37.5,37.5,33.0,1.08M,-7.20%
2/28/2016,35.4,34.8,37.0,34.0,252.46K,1.72%
3/6/2016,37.6,35.4,37.6,31.2,24.99K,6.21%
3/13/2016,37.8,37.9,41.0,37.0,12.90K,0.53%
3/20/2016,39.0,39.6,40.0,38.1,4.84K,3.17%
3/27/2016,39.0,39.0,39.0,37.0,18.79K,0.00%
4/3/2016,40.6,39.0,41.0,38.2,75.32K,4.10%
4/10/2016,39.5,40.6,40.6,39.5,14.43K,-2.71%
4/17/2016,40.0,39.5,40.0,39.0,7.32K,1.27%
4/24/2016,39.9,40.0,40.0,38.1,27.67K,-0.25%
5/1/2016,42.4,40.0,43.0,39.7,123.55K,6.27%
5/8/2016,42.7,42.2,45.0,40.2,106.20K,0.71%
5/15/2016,41.5,42.0,43.0,40.1,76.45K,-2.81%
5/22/2016,40.6,41.0,42.9,39.6,11.65K,-2.17%
5/29/2016,38.5,42.0,42.0,37.7,8.49K,-5.17%
6/5/2016,41.8,39.9,42.0,39.0,49.49K,8.57%
6/12/2016,39.0,41.8,41.8,39.0,26.93K,-6.70%
6/19/2016,38.0,39.2,39.5,38.0,3.77K,-2.56%
6/26/2016,39.8,38.0,39.8,36.7,14.81K,4.74%
7/3/2016,37.9,37.5,38.0,36.6,36.83K,-4.77%
7/10/2016,38.9,37.5,39.4,37.0,17.04K,2.64%
7/17/2016,38.5,38.9,39.4,38.0,4.60K,-1.03%
7/24/2016,37.0,38.0,39.0,36.0,19.73K,-3.90%
7/31/2016,38.5,36.6,38.8,36.5,34.75K,4.05%
8/7/2016,36.8,37.8,38.7,36.8,47.91K,-4.42%
8/14/2016,37.2,36.8,37.8,36.6,28.25K,1.09%
8/21/2016,37.0,37.2,37.2,36.7,17.08K,-0.54%
8/28/2016,36.3,36.8,37.0,36.2,31.88K,-1.89%
9/4/2016,36.6,37.0,37.0,35.8,63.65K,0.83%
9/11/2016,37.5,36.7,38.4,36.5,45.38K,2.46%
9/18/2016,38.0,37.1,38.3,36.7,20.04K,1.33%
9/25/2016,38.8,37.0,39.0,37.0,31.96K,2.11%
10/2/2016,38.0,38.8,39.9,38.0,21.80K,-2.06%
10/9/2016,37.0,38.0,39.0,36.7,11.34K,-2.63%
10/16/2016,37.1,37.1,37.7,35.3,21.72K,0.27%
10/23/2016,36.7,36.2,37.0,35.2,50.47K,-1.08%
10/30/2016,35.9,35.7,36.8,35.7,2.44K,-2.18%
11/6/2016,37.0,36.0,37.4,35.4,29.25K,3.06%
11/13/2016,35.5,36.1,37.2,35.5,6.90K,-4.05%
11/20/2016,35.0,35.5,35.5,33.3,16.35K,-1.41%
11/27/2016,35.4,35.0,36.0,34.6,56.61K,1.14%
12/4/2016,35.0,35.4,37.0,34.6,12.63K,-1.13%
12/11/2016,33.5,34.8,34.8,33.5,8.06K,-4.29%
12/18/2016,34.5,33.8,34.5,33.8,2.26K,2.99%
12/25/2016,36.5,35.0,36.5,34.0,8.01K,5.80%
1/1/2017,35.0,35.0,35.8,35.0,5.01K,-4.11%
1/8/2017,36.7,35.0,36.7,34.0,30.47K,4.86%
1/15/2017,35.4,36.4,36.6,35.0,14.88K,-3.54%
1/22/2017,35.0,34.2,35.8,34.2,6.36K,-1.13%
1/29/2017,35.0,35.4,36.0,34.0,22.53K,0.00%
2/5/2017,35.0,34.0,36.0,34.0,4.49K,0.00%
2/12/2017,34.0,34.5,35.5,34.0,9.96K,-2.86%
2/19/2017,34.7,33.8,34.9,33.0,8.95K,2.06%
2/26/2017,33.0,34.6,35.0,33.0,14.35K,-4.90%
3/5/2017,34.7,34.0,35.8,34.0,44.50K,5.15%
3/12/2017,34.3,35.0,35.0,33.0,6.34K,-1.15%
3/19/2017,32.2,34.3,34.3,32.1,28.45K,-6.12%
3/26/2017,33.6,33.0,33.7,32.1,23.39K,4.35%
4/2/2017,33.0,33.7,34.8,32.5,20.48K,-1.79%
4/9/2017,33.9,34.0,34.0,33.0,12.15K,2.73%
4/16/2017,35.0,33.5,35.9,33.5,57.70K,3.24%
4/23/2017,35.3,35.0,35.5,33.9,12.78K,0.86%
4/30/2017,35.0,35.5,35.5,34.5,19.43K,-0.85%
5/7/2017,34.4,35.0,36.0,34.4,41.17K,-1.71%
5/14/2017,33.9,35.0,35.0,33.6,44.18K,-1.45%
5/21/2017,33.3,33.9,33.9,33.0,20.53K,-1.77%
5/28/2017,33.0,33.0,33.3,32.5,20.47K,-0.90%
6/4/2017,32.8,33.0,33.0,31.5,27.06K,-0.61%
6/11/2017,32.6,32.0,32.9,30.8,90.75K,-0.61%
6/18/2017,32.0,32.6,32.8,31.2,13.89K,-1.84%
6/25/2017,32.0,32.0,32.4,31.5,8.42K,0.00%
7/2/2017,31.3,31.9,31.9,30.8,16.16K,-2.19%
